Country,Year,Population - Both Sexes (Thousand),Food Price Inflation (%),Total Meat Production (Tonnes),Total Cereal Production (Tonnes),Total Egg Production (Tonnes),Total Pulses Production (Tonnes),Oil Crops Production (Tonnes),Vegetable Crops Production (Tonnes),Number of people undernourished (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Prevalence of undernourishment (percent),Average dietary energy supply adequacy (percent) ,Enteric Fermentation (Kilotonnes),Crop Residues (Kilotonnes),Manure left on Pasture (Kilotonnes),Temperature Change (°C),Mean Temperature,Rainfall (mm)
Cambodia,2000,12223,,68700,4183064,14950,321700,15100,54686,,,77,23.6,101,5144.32,356.2161,819.2307,0.623,27.19,2085.48
Cambodia,2001,12473,14.13006,67000,4284605,14950,322200,17153,53363,2.7,5,53,21.2,103,4882.684,367.6973,780.1178,0.74,27.38,1972.66
Cambodia,2002,12709,-0.92037,62200,3971406,16700,327971,23925,58893,2.5,5.8,65,19.4,104,4955.6101,357.9972,795.1995,0.713,27.48,1891.54
Cambodia,2003,12934,4.403464,63120,5025548,16500,327542,31815,71105,2.4,11.4,65,18.5,105,5094.8048,426.7538,817.7861,0.617,27.4,1828.58
Cambodia,2004,13149,0.595785,64080,4426949,17050,327157,45253,94730,2.3,11.2,49,17,106,5156.2963,394.2392,826.258,0.77,27.38,1754.38
Cambodia,2005,13356,6.963578,67120,6233960,17035,327820,45041,122557,2.1,11.2,34,15.6,107,5396.6753,500.8601,862.1593,0.749,27.54,1795.14
Cambodia,2006,13555,13.672952,70320,6641061,17720,338047,59899,84479,2,11.9,24,14.8,108,5686.5788,521.932,903.6511,0.628,27.52,2084.76
Cambodia,2007,13747,7.481358,71440,7250000,18115,343565,54490,88537,2,15.2,19,14.5,108,5783.943,552.3821,920.9688,0.467,27.35,2303.18
Cambodia,2008,13941,26.162431,72800,7787338,18719,369641,38600,83695,2,14.1,14,13.9,109,5858.0764,576.9203,934.606,0.442,26.95,1824.15
Cambodia,2009,14144,8.869583,75000,8509896,20372,376693,44614,89672,1.9,15.1,17,13.3,109,6008.5001,615.1289,963.3728,1.212,27.34,1920.72
